"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1657181569,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,NA,2016,"4",5,"Croatia","000330140","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU","GBIF",NA
1657181579,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.22972,45.32,NA,2016,"4",5,"Croatia","000330156","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska. Učka. Passstraße zwischen Poklon und Veprinac. Panjak fireroad, E von Ravne staje","Herbarium GZU","GBIF",NA
1657181604,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,NA,2016,"4",5,"Croatia","000330141","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU","GBIF",NA
1657181658,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.27556,45.33528,NA,2016,"4",5,"Croatia","000330139","Mayrhofer,Helmut & Prettner,Matthias","GZU","Primorsko-Goranska.Veprinac. neben Straße die vom asphaltiertem Sportplatz Richtung Zatka führt","Herbarium GZU","GBIF",NA
1675763928,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.525967,50.88555,NA,2016,"6",11,"Czechia","43583",NA,"FR","bei Teichstatt","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1500366261,"bf2a4bf0-5f31-11de-b67e-b8a03c50a862",13.599444,45.152222,NA,2016,"9",23,"Croatia","E00817842","Obermayer, Walter","E","Istria, Vrsar, 200 m north of the harbour, 100 m east of the bathing beach, path to a vantage point on a small rocky hill","E","GBIF",NA
2464717819,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.673095,48.210304,NA,2016,"9",24,"Ukraine","CWU 203208a","Alla Gromakova","CWU","near Berehove city",NA,"GBIF",NA
2464718572,"f0ecd5eb-bc62-40fe-ab53-294cbb34a290",22.673095,48.210304,NA,2016,"9",24,"Ukraine","CWU 203208","Alla Gromakova","CWU","near Berehove city",NA,"GBIF",NA
1675763880,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.294635,50.156017,NA,2015,"1",9,"Germany","221515",NA,"FR","Hoher Taunus, das Theißtal westl. von Niedernhausen, Feldkreuz bei den Fischteichen","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763878,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.560567,50.065833,NA,2015,"3",8,"Germany","221487",NA,"FR","Frankfurt, Unterwald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1657181411,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",14.20694,45.28222,NA,2015,"4",25,"Croatia","000324339","Mayrhofer,Helmut, Seifter,Katharina & Župan,Dijana","GZU","Istrien. Učka. Doline zwischen Vojak und Vrata östlich Vojak, Fichtenwaldfragmente am Rande der Doline","Herbarium GZU","GBIF",NA
1233561875,"828a3d8c-f762-11e1-a439-00145eb45e9a",15.25005,51.324167,NA,2015,"6",6,"Poland","40983",NA,"FR","bei Alt Kohlfurt, am Neuen Wohlen","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763861,"828a3d8c-f762-11e1-a439-00145eb45e9a",9.007806,49.671306,NA,2014,"4",27,"Germany","217278",NA,"FR","Michelstadt, Landrat-Neff-Straße, Untersuchungsgebiet 2, Aufnahmebaum 3","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763864,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.63975,49.645333,NA,2014,"4",12,"Germany","217244",NA,"FR","Heppenheim, Darmstädterstraße, Untersuchungegebiet 1, Aufnahmebaum 2","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763855,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.632679,50.138744,NA,2014,"7",14,"Germany","218123",NA,"FR","Main-Taunusvorland, Frankfurt, Nordwesten, Volkspark Niddatal, südlicher Bereich","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763856,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,NA,2014,"7",15,"Germany","218132",NA,"FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763847,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.589444,50.077867,NA,2014,"9",23,"Germany","221183",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763865,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.586667,50.07835,NA,2014,"9",23,"Germany","221170",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
1675763846,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5775,50.080367,NA,2014,"11",26,"Germany","221334",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA
